id;parent_id;name;description;slug;link_rewrite;active;position;meta_title;meta_desc;
"274";"42";"Купресоципарис (Cupressocyparis)";"Купресоципарис – багаторічне вічнозелене хвойне дерево. В залежності від сорту вирізняється своїм яскравим забарвленням. Його плоскі віялоподібні гілки досить сильно відходять вбік від стовбура. Легкий в догляді та вирощуванні. До грунту не вибагливий, може зростати на нейтральних грунтах. Як всі хвойні полюбляє трохи підкислені та добре дреновані грунти. Чудово підходить для живоплотів. ";"274-kupresociparis-cupressocyparis";"kupresociparis-cupressocyparis";"1";"8";"Купресоципарис (Cupressocyparis)";"Купресоципариси Лейланда від виробника за низькими цінами";
"333";"42";"Метасеквойя китайська (Metasequoia glyptostroboides)";"Метасеквойя китайська (Metasequoia glyptostroboides). Протягом століть вважалося, що метасеквойя залишилася тільки в скам'янілостях, як трилобіти. Але в 1941 з Китаю було вивезено декілька живих екземплярів для ботанічних і комерційних потреб.Виявилося, що це чудове дерево дуже швидко росте і гарно розмножується.";"333-metasekvojya";"metasekvojya";"1";"9";"Метасеквойя китайська";"Метасеквойя китайська. Купити саджанці та повноміри за низькою ціною в Ужгороді з доставкою у Київ, Харків, Львів, Луцьк, Івано-Франківськ, Житомир, Вінниця, Полтава, Чернігів, Харків, Запоріжжя, Одесу, Херсон, Дніпро, Хмельницький...";
"260";"42";"Мікробіота (Microbiota)";"Мікробіота – однодомний чагарник родини кипарисових. Являється єдиним ендемічним (з обмеженим природним ареалом) родом хвойних на території Росії. Походить з вулканічного поля Сіхоте-Алінь на території Хабаровського і Приморського країв РФ. Мікробіота занесена в Червону Книгу РФ як вид чисельність котрого скорочується. Перехреснопара мікробіота отримала свою назву від розположення чешуйок і шишок. Префікс «мікро» додався до слова «біота» тому, що рослина дуже схожа на Platycladus orientalis (відомому як біота), котрий зустрічається набагато південніше в Китаї.
В ландшафтному дизайні високо цінуються декоративні якості перехснопарої мікробіоти. Цей чагарник стелиться по землі, в природі утворюючи важкопрохідні ділянки. Хвоя лусковидна, овальної форми, близько 2 мм довжиною. На внутрішніх гілках голчаста. Взимку під снігом хвоя рослини буріє.
Також рослина характеризується високою морозостійкістю та повільним ростом. Вік деяких екземплярів мікробіоти сягає до 100 років.";"260-microbiota";"microbiota";"0";"10";"Мікробіота (Microbiota)";"Мікробіота (Microbiota) - хвойный кустарник семейства кипарисовых";
"265";"42";"Модрина (Larix)";"Особливості модрини
Модрина (Larix) – листопадне хвойне однодомне дерево з родини соснових. Зустрічається на приполярних низовинах Аляски, Канади та Росії, в горах на великих висотах в США, Європі, Монголії, Китаї, Японії та Північній Кореї. Рід «Модрина» складається з 14 видів. Рослини характеризуються світлолюбивістю, швидким ростом, морозостійкістю. Може рости на засолених, заболочених грунтах.
Хвоя модрини
Хвоя тримається один сезон і потім опадає. Має голчату форму різних відтінків в залежності від виду. Одиночна на молодих пагонах і росте пучками на багаторічних пагонах.
Використання модрини в ландшафтному дизайні
В ландшафтному дизайні використовуються у парковому озелененні. Виведені декоративні форми з гілками що ніби плачуть (Pendula), переплітаються (Diana), різноманітні карликові форми в якості композиційних та грунтоукривних елементів. Рослина також цінується за те, що росте швидше ніж інші хвойні.";"265-larix";"larix";"1";"11";"Модрина (Larix)";"Модрина (Larix) листопадне хвойне однодомне дерево з родини соснових";
"334";"42";"Секвойя вічнозелена (Sequoia sempervirens)";"Секвойя - найвищий живий організм на нашій планеті, в своїх природніх умовах в прибережних районах північної Каліфорнії та східного Орегону досягає понад 130 м заввишки з річним приростом понад 1м.";"334-sekvojya-vichnozelena-sequoia-sempervirens";"sekvojya-vichnozelena-sequoia-sempervirens";"1";"12";"Секвойя вічнозелена (Sequoia sempervirens)";"Секвойя вічнозелена (Sequoia sempervirens). Купити саджанці та повноміри за низькою ціною в Ужгороді з доставкою у Київ, Харків, Львів, Луцьк, Івано-Франківськ, Житомир, Вінниця, Полтава, Чернігів, Харків, Запоріжжя, Одесу, Херсон, Дніпро, Хмельницький...";
"1232";"42";"Секвойядендрон (Sequoiadendron)";"Секвойяденрон є найвищим деревом у світі, у висоту зростає до 100 м, з діаметром стовбура до 10-12 м. Найстарша секвоя має вік 3200 років. Добре росте на сонячних вологих місцях. Стійкий до хвороб та шкідників. Піддається стрижці, тому можна вирощувати в стилі бонсай. Зазвичай використовується в солітерних посадках у парках та великих садах. Також можна використовувати для створення алей.";"1232-sekvojyadendron-sequoiadendron";"sekvojyadendron-sequoiadendron";"1";"13";"";"";
"243";"42";"Сосна (Pinus)";"Сосна – хвойне дерево з родини соснових. Латинською назва сосна – pinus, походження цього слова йде з кельтської мови де слово “pin” означає скеля. Зазвичай сосна це вічнозелене дерево з конічною у молодому віці кроною, котра стає пласкою з віком. Сосна найбільш поширена в районах північної півкулі з помірним кліматом.
Властивості сосни. 
Сосна – невибагливе до грунтів дерево, полюбляє рости на пісках, скельних породах і навіть на болотах. Дерево сосни є досить світлолюбивим. Сосна добре переносить як холод так і посуху і характеризується добрим ростом. Дерево сосни звичайної досягає у висоту 40 метрів.
Поширення сосни.
В Україні сосна звичайна займає понад 34 відсотки площі всіх лісів, росте здебільшого в районах Полісся. Різновиди сосни європейської зустрічаються в Карпатах, але рідко утворюють цілісні деревостани.
Використання сосни у ландшафтному дизайні.
В ландшафтному дизайні сосна використовується як окреме деревце на невеликих територіях і виглядає дуже ефектно, особливо якщо досвідчений садівник гарно сформує крону. Використовується в групових насадження для створення контрасту. Добре виглядають сосни на альпійських гірках, каменистих розсипах, водоспадах і інших комбінаціях з використанням каменів. Для цього використовуються насамперед карликові види сосни. В живоплотах сосна не використовується, оскільки внутрішні та нижні гілки з часом оголяються та висихають навіть при регулярній стрижці. В рядових посадках використовується найчастіше сосна сланикова. Догляд за газоном під соснами дещо ускладнений – потужна коренева система сосни швидко поглинає вологу і тому потрібно частіше здійснювати полив – це стосується дорослих дерев віком більше 20 років.";"243-pinus-sosna-landshaft";"pinus-sosna-landshaft";"1";"14";"Сосна (Pinus)";"Сосна (Pinus) - використання у ландшафтному дизайні і особливості вирощування";
"1324";"42";"Сціадопітіс (Sciadopitys)";"Сціадопітіс (Sciadopitys)";"1324-sciadopitys";"sciadopitys";"1";"15";"Сціадопітіс (Sciadopitys)";"Сціадопітіс (Sciadopitys)";
"296";"42";"Таксодіум (Taxodium) Болотний кипарис";"";"296-taksodium-bolotnij-kiparis";"taksodium-bolotnij-kiparis";"1";"16";"Таксодіум (Taxodium) Болотний кипарис";"Таксодіум (Taxodium) Болотний кипарис";
"300";"42";"Тис (Taxus)";"Тис – багаторічна декоративна хвойна рослина. Молода рослина має вузьку колоновидну форму. В залежності від сорту мають особливий зовнішній вид. Хвоя м'яка, дрібна і блискуча. Тиси невибагливі в догляді, а родючий грунт допоможе рослині стійкіше переносити хвороби та шкідників. Більшість тисів росте як на сонці, так і в тіні. Щільна форма та відмінна регенерація після обрізки робить тис ідеальним для вічнозелених живоплотів, як стрижених, так і неформованих. Також тис підійде для створення садових скульптур.";"300-tis-taxus";"tis-taxus";"1";"17";"Taxus (Тис)";"Taxus (Тис)";
"283";"42";"Тсуга (Tsuga)";"";"283-tsuga-tsuga";"tsuga-tsuga";"1";"18";"Тсуга (Tsuga)";"Тсуга (Tsuga) , Цуга";
"288";"42";"Туєвик (Thujopsis)";"";"288-tuyevik";"tuyevik";"1";"19";"Туєвик (Thujopsis)";"Туєвик (Thujopsis) - туйовик";
"176";"42";"Туя (Thuja)";"Опис туї
Туя. Це дерево цінується насамперед за свої декоративні якості. Вона може бути як деревом так і кущем в залежності від сорту. Великі туї сортів «Брабант» чи «Колумна» для формування живих загорожей чи карликові сорти «Глобоза», «Тедді» чи «Голден Глоб» усі вони виведені з природних форм завдяки багаторічній селекції. Основні різновиди це туя західна і туя східна з яких виведено чимало різних форм.
Особливості вирощування туї
Для посадки туї обирається світле місце, хоча деякі різновиди є витривалими до тіні. Слід обирати ділянки з не дуже високими грунтовими водами, але також слід пам’ятати про зволоження в спекотні періоди, особливо у молодих дерев з іще не сильно сформованою кореневою системою. Для забезпечення хорошого росту тую слід саджати на родючих грунтах і підкормлювати навесні пролонгованими препаратами для хвойних чи кілька разів на сезон використовуючи азотні, фосфорні та калійні добрива. 
Купити саджанці та повноміри туї
Наш розсадник пропонує придбати різні сорти туї як в контейнерах, так і продукцію повномірну викопану з грунту. Завдяки хорошій технології пакування наші туї завжди будуть доставлені по Україні в найкращому вигляді і гарантовано приживуться.
Обирайте найкращий посадковий матеріал туї з любов’ю вирощений «Зеленими Янголами» і ми з радістю запропонуємо вам найнижчі ціни, гнучкі знижки та хороший сервіс.
Доставка
Ви можете купити саджанці та повноміри туї в нашому розсаднику в Ужгороді за низькою ціною. Також ми пропонує доставку в Київ, Львів, Харків, Дніпро, Запоріжжя, Херсон, Чернігів, Полтаву, Житомир, Вінницю, Одесу, Луцьк та інші міста де є відділення нової пошти.";"176-thuja";"thuja";"1";"20";"Туя (Thuja)";"Туя (Thuja) західна, східна. Всі різновиди за найнижчими цінами з доставкою по Україні від виробника. Саджанці туї в Київ, Харків, Одесу, Львів, Житомир, Вінницю, Полтаву, Одесу та інші міста";
"226";"42";"Ялина (Picea)";"Ялина – це рід хвойних дерев з родини соснових висотою аж до 90 метрів (зазвичай 20-60 м). Крона ялини має форму широкого конуса. Ялина поширена в різних районах північної півкулі – в залежності від кліматичного поясу росте на різних висотах.
В ландшафтному дизайні використовуються насамперед сорти ялини, котрі відрізняються за кольором та формою – різновиди ялини звичайної, білої(канадської), колючої, сітхінської, сербської.
Ялина дерево морозостійке, невибагливе, найкраще для нього підходить супісчаний та суглинистий грунт. Витримує ялина навіть часткове заболочення. Але для маленьких саджанців і сильна спека з посухою і надмірне зволоження є небажаними. Ялина характеризується нешвидким ростом.
Ландшафтний центр «Зелені янголи» пропонує придбати саджанці ялини в контейнері, оскільки цей спосіб найкраще підходить для гарантованого приживання рослини. За вашим бажанням ми можемо відправити саджанці ялини в контейнерах в будь-яку точку України.
Купляючи рослини в ландшафт-центрі «Зелені янголи» ви можете бути у високій якості придбаних рослин, доброму їх приживанню на новому місці.";"226-picea";"picea";"1";"21";"Ялина (Picea) - саджанці в контейнерах";"Ялина, Picea - хвойне дерево з конусовидною кроною. Продаж в контейнерах від виробника з доставкою по Україні";
"258";"42";"Ялиця (Abies)";"Ялиця – рід однодомних вічнозелених хвойних рослин із родини соснових. В природних ареалах розповсюджена в регіонах з помірним кліматом північної півкулі, в субтропічних областях – на високогір’ї.
Походження роду достатньо давнє– закаменілі рештки ялиці знайдені в шарах давністю до 49 млн. років назад.
Крона дерева шпилеподібна або конічна, у великовікових дерев стає плоскою або заокругленою. Ростуть ялиці до 55 метрів і в діаметрі стовбура до 150 см. Але таких розмірів досягають  тільки дерева у віці понад 300 років.
У ландшафтному дизайні переважно використовується для утворення живоплотів, одиночних та групових посадок, оформлення алей.
Хвоя дерева м’яка і ніжна, має дуже приємний аромат. В залежності від сорту має різні відтінки.";"258-abies";"abies";"1";"22";"Ялиця (Abies)";"Ялиця (Abies) вічнозелене хвойне дерево з родини соснових з високими декоративними і ароматними якостями";
"165";"42";"Ялівець (Juniperus)";"Опис ялівця
Ялівець – це невелике дерево до 4-6 метрів або кущ з високими декоративними властивостями, з родини кипарисових. Поширений у районах з помірним кліматом у північній півкулі, а також в деяких тропічних районах Непалу та Пакистану.
Використання ялівця в ландшафтному дизайні
В ландшафтному дизайні використовуються переважно сорти ялівця звичайного, китайського, прибережного, горизонтального, пфіцера, скельного, лускатого та віргінського котрі вирізняються різною формою та кольором.
Особливості вирощування ялівця
Ялівець рослина невибаглива до грунтів, морозостійка та тіневитривала. В періоди посухи потребує додаткового поливу.
Купити саджанці і повноміри ялівця в Ужгороді або з доставкою по Україні
Замовляйте ялівець в ландшафт центрі «Зелені Янголи» і гарантовано отримайте саджанці найкращої якості вирощені з любов’ю. Завдяки нашій технології пакування як саджанці в контейнерах так і з грунту перенесуть пересадку найкращим чином.
У нас ви отримаєте найнижчі в Україні ціни та найкращі рослини.
Купити саджанці і повноміри ялівця ви можете в Ужгороді за найнижчою ціною або з доставкою в по Україні (ми доставляємо у Львів, Івано-Франківськ, Київ, Луцьк, Вінницю, Чернівці, Херсон, Житомир, Хмельницький, Мукачево, Чоп, Хуст, Одесу, Харків, Дніпро, Запоріжжя та інші міста).";"165-yalivec";"yalivec";"1";"23";"Ялівець (можжевельник)  Juniperus ";"Ялівець (можжевельник)  Juniperus за найкращими цінами з доставкою по Україні для ландшафтного дизайну у Київ, Львів, Харків, Одесу, Дніпро, Запоріжжя, Херсон";
"55";"3";"Листяні дерева";"Широкий асортимент листяних дерев екзотичних порід, що стануть справжними домінантами ваших парків та ландшафтних композицій, насадки алей. Високі декоративні якості наших елітних видів дерев з нашомого розсаднику гарантуються. Ми доставляємо елітні дерева для ландшафтного дизайну, парків, алей за низькими цінами в Ужгороді та по Україні (Київ, Львів, Харків, Херсон, Дніпро, Запоріжжя, Одеса та ін).

 Глід (Crataegus) 
";"55-trees";"trees";"1";"1";"Листяні дерева";"Дерева елітних сортів за найкращими цінами в Ужгороді та з доставкою по Україні";
"1272";"55";"Альбіція (Albizia)";"";"1272-albizia";"albizia";"1";"1";"Альбіція (Albizia)";"Альбіція (Albizia)";
"336";"55";"Береза (Bétula)";"Береза – листяне дерево чи кущ. Залежно від сорту форма крони може мати різну форму. Кора зазвичай біло-чорна, тріщинувата. Дерево може зростати до 40 м. Листочки трикутної форми. Більшість беріз є морозостійкими. Вони полюбляють вологий грунт але переносять і посуху. Для висадки можна обирати сонячні місця. Берези висаджують в садах та парках а також їх використовують щоб укріпити грунт.


";"336-bereza-betula";"bereza-betula";"1";"2";"Береза (Bétula)";"Береза (Bétula)";
"289";"55";"Бук (Fagus)";"Бук – це листопадне дерево. Має широку, округлу форму крони. Може виростати до 25 м у висоту. Листя зелене блискуче, восени набуває жовтого кольору. До грунту не вибагливий, полюбляє вологу. Добре переносить затінок та сонце. Бук використовують в ландшафтному дизайні як солітер або в групових посадках. Також з нього можна формувати живоплоти але при цьому він потребує регулярної стрижки.";"289-buk";"buk";"1";"3";"Бук (Fagus)";"Бук (Fagus)";
"344";"55";"В'яз (Ulmus)";"В’яз – листяне дерево, заввишки до 30 м. Стовбур у дорослому віці набуває сіро-коричневий відтінок і покривається безліччю глибоких тріщин. Крона густа та широка. Листя темно-зеленого кольору до 15 см завдовжки, загостреної форми, краї зубчасті. Морозостійкий, може рости в умовах сильного засолення землі. Досить посухостійкий. В ландшафтному озеленені використовують в поодиноких (солітер) або в групових посадках. В’яз також чудово служить в якості супутньої породи для дуба. ";"344-v-yaz-ulmus";"v-yaz-ulmus";"1";"4";"В'яз (Ulmus)";"В'яз (Ulmus)";
"229";"55";"Верба";"Верби - це гарні, переважно розкидисті дерева або кущі, які полюбляють вологий грунт, підходять для озеленення заболочених територій, красиво виглядають біля водойм. Але верба невибаглива рослина - зможе жити і рости також на сухих, бідних грунтах. Деякі види верб можна сформувати і як дерево і як кущ (чагарник). Наприклад, підрізаючи у саджанців нижні гілки і залишивши один основний стовбур, більшість кущових верб можна сформувати як невисоке деревце. Кущові верби стають дуже гарними, щільними після стрижки, за допомогою верби можна створити чудові невибагливі живі огорожі. Обирайте та замовляйте вербу в розсаднику "Зелені Янголи" і купуйте з доставкою в будь-яке місто по Україні.";"229-verba";"verba";"1";"5";"Верба";"Верба";
"1340";"55";"Вишня повстиста (Prunus Tomentosa)";"";"1340-prunus-tomentosa";"prunus-tomentosa";"1";"6";"Вишня повстиста (Prunus Tomentosa)";"Вишня повстиста (Prunus Tomentosa)";
"362";"55";"Гледичія (Gleditsia)";"";"362-gleditsia";"gleditsia";"0";"7";"Гледичія (Gleditsia)";"Гледичія (Gleditsia)";
"405";"55";"Горобина (Sorbus)";"Декоративне листопадне дерево, яке може зростати до 6-8 м заввишки, 2-3 завширшки. Листя еліптичне або оберненояйцевидне, насичено-зеленого кольору, восени набуває багряного відтінку. Розквітає в кінці травня білими дрібними квітами, які зібрані у великі щитковидні суцвіття. Плоди їстівні та солодкі, злегка терпкуваті, темно-коричневі або чорні. Горобина світлолюбна та невибаглива до родючості грунтів, може зростати на кислих, сухих та піщаних. Використовують в якості солітера, для озеленення в парках та скверах, а також для створення живоплотів. ";"405-gorobina-sorbus";"gorobina-sorbus";"1";"8";"Горобина (Sorbus)";"Горобина (Sorbus)";
"347";"55";"Граб (Carpinus)";"Граб – листопадне дерево, може зростати максимально до 30 м. Стовбур гладкий або малотріщинуватий, сірого кольору. Крона густа та неширока. Листки прості, овальні або еліптичні, зубчасті, довжиною 3-10 см. Потребують родючого та пухкого грунту, а також добре зволоженого. Світлолюбиві та тіньовитривалі. Застосовують для одиночних і групових посадок в парках. Також вони чудово підійдуть для створення живоплоту та для створення бонсаїв.                                                                                                                                                                                                                                                                                                                                                                       ";"347-grab";"grab";"1";"9";"Граб";"";
